"Meetnet";"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"PINK";"Vlaanderen";"Habitatsubtype";"Versie 2.0";2130;"2130_had";"Binnen";29;126;89,66;72,34;96,64
"PINK";"Vlaanderen";"Habitatsubtype";"Versie 2.0";2130;"2130_hd";"Binnen";159;622,4;41,51;34,09;49,33
"PINK";"Vlaanderen";"Habitattype";"Versie 2.0";2130;"2130_hd; 2130_had";"Binnen";188;748,4;49,62;42,5;56,75
"PINK";"Vlaanderen";"Habitatsubtype";"Versie 3";2130;"2130_had";"Binnen";29;126;89,66;72,34;96,64
"PINK";"Vlaanderen";"Habitatsubtype";"Versie 3";2130;"2130_hd";"Binnen";159;622,4;80,5;73,59;85,95
"PINK";"Vlaanderen";"Habitattype";"Versie 3";2130;"2130_hd; 2130_had";"Binnen";188;748,4;82,04;75,89;86,9
"PINK";"Vlaanderen";"Habitattype";"Versie 2.0";2160;"2160";"Binnen";41;620,200000000001;97,56;84,29;99,67
"PINK";"Vlaanderen";"Habitattype";"Versie 3";2160;"2160";"Binnen";41;620,200000000001;73,17;57,54;84,59
"PINK";"Vlaanderen";"Habitattype";"Versie 2.0";2170;"2170";"Binnen";11;75,7;45,45;19,36;74,32
"PINK";"Vlaanderen";"Habitattype";"Versie 3";2170;"2170";"Binnen";11;75,7;36,36;13,61;67,45
"PINK";"Vlaanderen";"Habitatsubtype";"Versie 2.0";2190;"2190";"Binnen";34;48,1;35,29;21,18;52,54
"PINK";"Vlaanderen";"Habitatsubtype";"Versie 2.0";2190;"2190_mp";"Binnen";44;7,39999999999999;68,18;53,09;80,23
"PINK";"Vlaanderen";"Habitattype";"Versie 2.0";2190;"2190; 2190_mp";"Binnen";78;55,5;39,68;26,63;54,39
"PINK";"Vlaanderen";"Habitatsubtype";"Versie 3";2190;"2190";"Binnen";34;48,1;61,76;44,61;76,42
"PINK";"Vlaanderen";"Habitatsubtype";"Versie 3";2190;"2190_mp";"Binnen";44;7,39999999999999;81,82;67,55;90,68
"PINK";"Vlaanderen";"Habitattype";"Versie 3";2190;"2190; 2190_mp";"Binnen";78;55,5;64,44;49,19;77,23
