n;effect;power;lcl;ucl
40;0,906226902105128;0,740;0,680976722164264;0,793234851270417
80;0,702312518339216;0,820;0,766661510687039;0,865572476267312
170;0,521685951828224;0,888;0,842208674182287;0,924273818487365
