type	typelevel	typeclass	main_type	sac	area_subtype_sac	area_polygons_subtype_sac	n_polygons_subtype_sac	prop_subtype_sac	area_subtype	area_polygons_subtype	n_polygons_subtype	prop_subtype	area_type_sac	area_polygons_sac	n_polygons_sac	prop_type_sac	area_type	area_polygons	n_polygons	prop_type	area_type_insac	prop_type_insac	sample_type	extra_subtype	n_infinite_flanders	n_infinite_sac	n_infinite_subtype	N	N_sac	N_subtype	n_finite_flanders_tot	n_finite_flanders	n_finite_sac_tot	n_finite_sac	n_finite_subtype_tot	n_finite_subtype	n_extra_sac	n_extra_subtype
1	1	1	1	0	68.8508653540792	68.8508653540792	501	1	758.692112792747	769.433249262056	2609	0.986040197145613	68.8508653540792	68.8508653540792	501	1	758.692112792747	769.433249262056	2609	0.986040197145613	689.841247438668	0.909250585061918	0	0	0	0	0	7409.10266399167	672.37173197343	7409.10266399167	0	0	0	0	0	0	0	0
1	1	1	1	1	689.841247438668	700.582383907976	2108	0.984668274972327	758.692112792747	769.433249262056	2609	0.986040197145613	689.841247438668	700.582383907976	2108	0.984668274972327	758.692112792747	769.433249262056	2609	0.986040197145613	689.841247438668	0.909250585061918	0	0	0	0	0	7409.10266399167	6736.73093201824	7409.10266399167	0	0	0	0	0	0	0	0
2	1	1	2	0	992.509818570322	992.509818570322	11	1	2096.44884050394	2113.41746153687	46	0.991971003674499	992.509818570322	992.509818570322	11	1	2096.44884050394	2113.41746153687	46	0.991971003674499	1103.93902193362	0.526575702972202	0	0	0	0	0	20473.1332080463	9692.4786969758	20473.1332080463	0	0	0	0	0	0	0	0
2	1	1	2	1	1103.93902193362	1120.90764296655	35	0.984861713505655	2096.44884050394	2113.41746153687	46	0.991971003674499	1103.93902193362	1120.90764296655	35	0.984861713505655	2096.44884050394	2113.41746153687	46	0.991971003674499	1103.93902193362	0.526575702972202	0	0	0	0	0	20473.1332080463	10780.6545110705	20473.1332080463	0	0	0	0	0	0	0	0
4	2	1	3	0	9.95836016645036	11.5829326860175	76	0.85974428380057	17.0614487456672	21.6850797716455	130	0.786782844487205	14.3859592466365	17.3029516085445	82	0.831416487319566	56.6192730260816	83.3054101345811	238	0.679659015358214	42.2333137794451	0.745917627024112	0	0	0	0	0	552.922588145328	140.487883267935	166.615710406906	0	0	0	0	0	0	0	0
4	2	1	3	1	7.10308857921683	10.102147085628	54	0.703126624370991	17.0614487456672	21.6850797716455	130	0.786782844487205	42.2333137794451	66.0024585260366	156	0.639874858037067	56.6192730260816	83.3054101345811	238	0.679659015358214	42.2333137794451	0.745917627024112	0	0	0	0	0	552.922588145328	412.434704877394	166.615710406906	0	0	0	0	0	0	0	0
5	2	1	3	0	4.42759908018616	5.72001892252697	6	0.774053222577478	30.0893787068697	51.7529786305132	98	0.581403805212657	14.3859592466365	17.3029516085445	82	0.831416487319566	56.6192730260816	83.3054101345811	238	0.679659015358214	42.2333137794451	0.745917627024112	0	0	0	0	0	552.922588145328	140.487883267935	293.841588934274	0	0	0	0	0	0	0	0
5	2	1	3	1	25.6617796266835	46.0329597079862	92	0.557465341995629	30.0893787068697	51.7529786305132	98	0.581403805212657	42.2333137794451	66.0024585260366	156	0.639874858037067	56.6192730260816	83.3054101345811	238	0.679659015358214	42.2333137794451	0.745917627024112	0	0	0	0	0	552.922588145328	412.434704877394	293.841588934274	0	0	0	0	0	0	0	0
6	2	1	3	1	9.46844557354477	9.86735173242249	10	0.959573128667646	9.46844557354477	9.86735173242249	10	0.959573128667646	42.2333137794451	66.0024585260366	156	0.639874858037067	56.6192730260816	83.3054101345811	238	0.679659015358214	42.2333137794451	0.745917627024112	0	0	0	0	0	552.922588145328	412.434704877394	92.4652888041481	0	0	0	0	0	0	0	0
7	1	1	4	0	0.0048259423741365	0.0048259423741365	1	1	1.83607215231278	3.36381747309397	49	0.545829899213883	0.0048259423741365	0.0048259423741365	1	1	1.83607215231278	3.36381747309397	49	0.545829899213883	1.83124620993864	0.997371594374405	0	0	0	0	0	17.9303921124295	0.0471283434974268	17.9303921124295	0	0	0	0	0	0	0	0
7	1	1	4	1	1.83124620993864	3.35899153071983	48	0.545177382315759	1.83607215231278	3.36381747309397	49	0.545829899213883	1.83124620993864	3.35899153071983	48	0.545177382315759	1.83607215231278	3.36381747309397	49	0.545829899213883	1.83124620993864	0.997371594374405	0	0	0	0	0	17.9303921124295	17.883263768932	17.9303921124295	0	0	0	0	0	0	0	0
9	2	1	5	0	0.803226279713591	0.803226279713591	35	1	117.022702586005	135.43749149115	637	0.864034775730115	46.3934572075609	63.2482828904802	243	0.733513307988063	251.094465739547	298.650815055209	1264	0.840762700390185	204.701008531986	0.815235046814279	1	1	80	80	40	2452.09439198776	453.061105542587	1142.79982994145	77.5030563775077	0.247924586697625	0	0	38.6799795020471	0.265493578154149	0	0.0175689914565244
9	2	1	5	1	116.219476306291	134.634265211436	602	0.863223608965924	117.022702586005	135.43749149115	637	0.864034775730115	204.701008531986	235.402532164729	1021	0.869578617738664	251.094465739547	298.650815055209	1264	0.840762700390185	204.701008531986	0.815235046814279	1	1	80	80	40	2452.09439198776	1999.03328644518	1142.79982994145	77.5030563775077	35.8724139849182	76.9586627696367	43.6934607624176	38.6799795020471	38.4144859238929	7.82104677749933	0
10	2	1	5	0	45.5902309278474	62.4450566107667	208	0.730085508802098	134.071763153542	163.213323564059	627	0.821451093733293	46.3934572075609	63.2482828904802	243	0.733513307988063	251.094465739547	298.650815055209	1264	0.840762700390185	204.701008531986	0.815235046814279	1	1	80	80	40	2452.09439198776	453.061105542587	1309.29456204631	77.5030563775077	14.0719239966428	0	0	38.8429827992242	13.2083036285202	0	0
10	2	1	5	1	88.4815322256949	100.768266953293	419	0.878069405189902	134.071763153542	163.213323564059	627	0.821451093733293	204.701008531986	235.402532164729	1021	0.869578617738664	251.094465739547	298.650815055209	1264	0.840762700390185	204.701008531986	0.815235046814279	1	1	80	80	40	2452.09439198776	1999.03328644518	1309.29456204631	77.5030563775077	27.310793809249	76.9586627696367	33.2652020072191	38.8429827992242	25.634679170704	5.95440819797014	0
11	1	2	6	0	10.3685134258493	12.0004702904452	160	0.86400892422564	27.1079807822335	28.7804146565623	290	0.941889861758908	10.3685134258493	12.0004702904452	160	0.86400892422564	27.1079807822335	28.7804146565623	290	0.941889861758908	16.7394673563842	0.617510669306478	0	0	0	0	0	264.726374826499	101.25501392431	264.726374826499	0	0	0	0	0	0	0	0
11	1	2	6	1	16.7394673563842	16.779944366117	130	0.997587774497356	27.1079807822335	28.7804146565623	290	0.941889861758908	16.7394673563842	16.779944366117	130	0.997587774497356	27.1079807822335	28.7804146565623	290	0.941889861758908	16.7394673563842	0.617510669306478	0	0	0	0	0	264.726374826499	163.471360902189	264.726374826499	0	0	0	0	0	0	0	0
12	1	2	7	0	26.3449515288408	49.4846273575682	50	0.532386580148949	445.619115470162	686.906253570681	415	0.648733525359162	26.3449515288408	49.4846273575682	50	0.532386580148949	445.619115470162	686.906253570681	415	0.648733525359162	419.274163941322	0.940880113499968	1	0	80	80	0	4351.7491745133	257.274917273836	4351.7491745133	78.5736046544106	4.64526258906717	0	0	0	0	0	0
12	1	2	7	1	419.274163941322	637.421626213112	365	0.657765828298307	445.619115470162	686.906253570681	415	0.648733525359162	419.274163941322	637.421626213112	365	0.657765828298307	445.619115470162	686.906253570681	415	0.648733525359162	419.274163941322	0.940880113499968	1	0	80	80	0	4351.7491745133	4094.47425723947	4351.7491745133	78.5736046544106	73.9283420653434	78.4856741385101	78.4856741385101	0	0	4.55733207316671	0
14	2	2	8	0	1.19544964742518	1.19544964742518	1	1	124.715627707005	152.980571636349	41	0.815238342836548	40.2402908726651	73.2880772844056	186	0.549070085663545	802.479821782169	1286.34717217255	1236	0.623843888447965	762.239530909504	0.949855074507296	1	1	80	80	40	7836.7170095915	392.97159055337	1217.92605182622	79.2015884357233	0.117986157908281	0	0	38.7588768665162	0.37151948425843	0	0.253533326350149
14	2	2	8	1	123.52017805958	151.785121988924	40	0.813783172164881	124.715627707005	152.980571636349	41	0.815238342836548	762.239530909504	1213.05909488815	1050	0.628361416291749	802.479821782169	1286.34717217255	1236	0.623843888447965	762.239530909504	0.949855074507296	1	1	80	80	40	7836.7170095915	7443.74541903813	1217.92605182622	79.2015884357233	12.1909536422433	79.1598811806118	12.8277821106148	38.7588768665162	38.3873573822578	0.636828468371498	25.5595752716429
15	2	2	8	0	39.0448412252399	72.0926276369804	185	0.541592705177132	677.764194075164	1133.3666005362	1195	0.598009676440535	40.2402908726651	73.2880772844056	186	0.549070085663545	802.479821782169	1286.34717217255	1236	0.623843888447965	762.239530909504	0.949855074507296	1	1	80	80	40	7836.7170095915	392.97159055337	6618.79095776528	79.2015884357233	3.85357159310485	0	0	39.7656880472974	2.29083358134283	0	0
15	2	2	8	1	638.719352849924	1061.27397289922	1010	0.601842096537098	677.764194075164	1133.3666005362	1195	0.598009676440535	762.239530909504	1213.05909488815	1050	0.628361416291749	802.479821782169	1286.34717217255	1236	0.623843888447965	762.239530909504	0.949855074507296	1	1	80	80	40	7836.7170095915	7443.74541903813	6618.79095776528	79.2015884357233	63.0390770424668	79.1598811806118	66.332099069997	39.7656880472974	37.4748544659545	3.29302202753021	0
17	1	2	10	0	26.8571838017521	63.8804575582774	124	0.420428795101391	645.314077014111	1011.50408591003	1041	0.637974760560194	26.8571838017521	63.8804575582774	124	0.420428795101391	645.314077014111	1011.50408591003	1041	0.637974760560194	618.456893212359	0.958381221240328	1	0	80	80	0	6301.89528334093	262.277185563985	6301.89528334093	79.0095433760682	3.28828070567128	0	0	0	0	0	0
17	1	2	10	1	618.456893212359	947.623628351755	917	0.652639797815161	645.314077014111	1011.50408591003	1041	0.637974760560194	618.456893212359	947.623628351755	917	0.652639797815161	645.314077014111	1011.50408591003	1041	0.637974760560194	618.456893212359	0.958381221240328	1	0	80	80	0	6301.89528334093	6039.61809777695	6301.89528334093	79.0095433760682	75.721262670397	78.9670870286387	78.9670870286387	0	0	3.24582435824171	0
18	1	2	11	1	63.292269518037	173.772349001848	196	0.364225205457537	63.292269518037	173.772349001848	196	0.364225205457537	63.292269518037	173.772349001848	196	0.364225205457537	63.292269518037	173.772349001848	196	0.364225205457537	63.292269518037	1	1	0	80	80	0	618.088569512081	618.088569512081	618.088569512081	70.9337202237822	70.9337202237822	70.9337202237822	70.9337202237822	0	0	0	0
19	1	2	12	0	9.2043903857104	9.92961323521421	5	0.926963635710211	244.517684552208	277.054772639001	195	0.88256080999121	9.2043903857104	9.92961323521421	5	0.926963635710211	244.517684552208	277.054772639001	195	0.88256080999121	235.313294166497	0.962356954252341	1	0	80	80	0	2387.86801320515	89.8866248604531	2387.86801320515	77.4380469623145	2.91500394441177	0	0	0	0	0	0
19	1	2	12	1	235.313294166497	267.125159403787	190	0.880910262034872	244.517684552208	277.054772639001	195	0.88256080999121	235.313294166497	267.125159403787	190	0.880910262034872	244.517684552208	277.054772639001	195	0.88256080999121	235.313294166497	0.962356954252341	1	0	80	80	0	2387.86801320515	2297.9813883447	2387.86801320515	77.4380469623145	74.5230430179028	77.3411655509843	77.3411655509843	0	0	2.81812253308156	0
22	2	2	13	0	0.0236104945981431	0.0236104945981431	1	1	7.8969034246095	14.0539731413147	50	0.561898286356822	0.0831641892439614	0.222122810084204	2	0.37440634400598	47.8646806677829	73.2139891955274	195	0.653764139800579	47.7815164785389	0.998262514487014	1	0	80	80	0	467.428522146317	0.81215028558556	77.1181975059522	68.4339858849687	0.033756837641539	0	0	0	0	0	0
